Path	Lines of Code
controllers/OM.js	39
controllers/TokenOM.js	31
controllers/authentication.js	250
controllers/authentification.js	125
controllers/categorieControllers.js	240
controllers/client.js	74
controllers/commandeControllers.js	2495
controllers/commentaire.js	158
controllers/commune.js	48
controllers/controllersActiviter.js	271
controllers/controllersChantier.js	40
controllers/controllersLevele.js	58
controllers/controllersProjet.js	73
controllers/controllersService.js	67
controllers/getToken.js	31
controllers/getTokenCarte.js	28
controllers/getTokenSMS.js	31
controllers/globalVariable.js	4
controllers/orangeOM.js	27
controllers/orangeOmApi.js	76
controllers/orangeOmApiStatus.js	44
controllers/orangeSms.js	26
controllers/orangeSmsApi.js	33
controllers/passportControllers.js	1
controllers/payementCarteApi.js	39
controllers/pays.js	29
controllers/pointageControllers.js	50
controllers/probleme.js	36
controllers/produitControllers.js	945
controllers/profile.js	15
controllers/profiles.js	15
controllers/prospectionControllers.js	295
controllers/regions.js	35
controllers/relationControllers.js	2
controllers/statut.js	31
controllers/statutProduitCommande.js	83
controllers/userController.js	257
controllers/userControllers.js	1208
controllers/zoneControllers.js	625
