Path	Lines of Code
models/Active.js	30
models/Activiter.js	151
models/Affaire.js	22
models/Agrega.js	101
models/Bloge.js	28
models/Camion.js	29
models/Carte.js	105
models/Categorie.js	39
models/Chantier.js	49
models/Chauffeure.js	28
models/Commande.js	118
models/Conversation.js	23
models/Demande.js	86
models/Distributeur.js	105
models/Favorie.js	14
models/Garde.js	64
models/Levele.js	42
models/Mise.js	30
models/Notification.js	18
models/Partenaire.js	23
models/Passport.js	25
models/Pointage.js	49
models/Position.js	39
models/Produit.js	30
models/Projet.js	61
models/Prospection.js	44
models/Relation.js	83
models/Service.js	44
models/Slider.js	28
models/Stock.js	29
models/Terrain.js	33
models/Transporte.js	33
models/User.js	246
models/Utilisateur.js	90
models/Vaccination.js	33
models/Vente.js	72
models/Version.js	25
models/Zone.js	59
models/client.js	34
models/commentaire.js	25
models/commune.js	22
models/pays.js	21
models/probleme.js	18
models/problemeProduitCommande.js	15
models/region.js	22
models/statut.js	21
models/statutProduitCommande.js	28
