Path	Lines of Code
DB.js	3
config/passport.js	24
controllers/OM.js	39
controllers/TokenOM.js	31
controllers/authentication.js	250
controllers/authentification.js	125
controllers/categorieControllers.js	240
controllers/client.js	74
controllers/commandeControllers.js	2495
controllers/commentaire.js	158
controllers/commune.js	48
controllers/controllersActiviter.js	271
controllers/controllersChantier.js	40
controllers/controllersLevele.js	58
controllers/controllersProjet.js	73
controllers/controllersService.js	67
controllers/getToken.js	31
controllers/getTokenCarte.js	28
controllers/getTokenSMS.js	31
controllers/globalVariable.js	4
controllers/orangeOM.js	27
controllers/orangeOmApi.js	76
controllers/orangeOmApiStatus.js	44
controllers/orangeSms.js	26
controllers/orangeSmsApi.js	33
controllers/passportControllers.js	1
controllers/payementCarteApi.js	39
controllers/pays.js	29
controllers/pointageControllers.js	50
controllers/probleme.js	36
controllers/produitControllers.js	945
controllers/profile.js	15
controllers/profiles.js	15
controllers/prospectionControllers.js	295
controllers/regions.js	35
controllers/relationControllers.js	2
controllers/statut.js	31
controllers/statutProduitCommande.js	83
controllers/userController.js	257
controllers/userControllers.js	1208
controllers/zoneControllers.js	625
models/Active.js	30
models/Activiter.js	151
models/Affaire.js	22
models/Agrega.js	101
models/Bloge.js	28
models/Camion.js	29
models/Carte.js	105
models/Categorie.js	39
models/Chantier.js	49
models/Chauffeure.js	28
models/Commande.js	118
models/Conversation.js	23
models/Demande.js	86
models/Distributeur.js	105
models/Favorie.js	14
models/Garde.js	64
models/Levele.js	42
models/Mise.js	30
models/Notification.js	18
models/Partenaire.js	23
models/Passport.js	25
models/Pointage.js	49
models/Position.js	39
models/Produit.js	30
models/Projet.js	61
models/Prospection.js	44
models/Relation.js	83
models/Service.js	44
models/Slider.js	28
models/Stock.js	29
models/Terrain.js	33
models/Transporte.js	33
models/User.js	246
models/Utilisateur.js	90
models/Vaccination.js	33
models/Vente.js	72
models/Version.js	25
models/Zone.js	59
models/client.js	34
models/commentaire.js	25
models/commune.js	22
models/pays.js	21
models/probleme.js	18
models/problemeProduitCommande.js	15
models/region.js	22
models/statut.js	21
models/statutProduitCommande.js	28
routes/categorie.route.js	45
routes/commande.route.js	109
routes/passport.route.js	1
routes/pointage.route.js	10
routes/produit.route.js	92
routes/projet.route.js	51
routes/sms.route.js	52
routes/status.js	1
routes/user.route.js	136
routes/zone.route.js	102
server.js	73
