path	# lines of code
config/passport.js	24	
server.js	73	
DB.js	3	
models/client.js	34	
models/Notification.js	18	
models/region.js	22	
models/statutProduitCommande.js	28	
models/Conversation.js	23	
models/Stock.js	29	
models/Chantier.js	49	
models/Garde.js	64	
models/Produit.js	30	
models/Terrain.js	33	
models/Activiter.js	151	
models/Service.js	44	
models/User.js	246	
models/Relation.js	83	
models/statut.js	21	
models/Passport.js	25	
models/Vente.js	72	
models/Utilisateur.js	90	
models/Camion.js	29	
models/Carte.js	105	
models/Version.js	25	
models/Categorie.js	39	
models/commune.js	22	
models/problemeProduitCommande.js	15	
models/Affaire.js	22	
models/Mise.js	30	
models/Partenaire.js	23	
models/probleme.js	18	
models/Demande.js	86	
models/Prospection.js	44	
models/pays.js	21	
models/Pointage.js	49	
models/Chauffeure.js	28	
models/Active.js	30	
models/Transporte.js	33	
models/Levele.js	42	
models/Agrega.js	101	
models/Distributeur.js	105	
models/Slider.js	28	
models/Favorie.js	14	
models/Vaccination.js	33	
models/Commande.js	118	
models/commentaire.js	25	
models/Projet.js	61	
models/Zone.js	59	
models/Position.js	39	
models/Bloge.js	28	
controllers/client.js	74	
controllers/profile.js	15	
controllers/regions.js	35	
controllers/getToken.js	31	
controllers/statutProduitCommande.js	83	
controllers/orangeSmsApi.js	33	
controllers/pointageControllers.js	50	
controllers/userControllers.js	1208	
controllers/TokenOM.js	31	
controllers/orangeSms.js	26	
controllers/commandeControllers.js	2495	
controllers/statut.js	31	
controllers/controllersChantier.js	40	
controllers/orangeOM.js	27	
controllers/userController.js	257	
controllers/commune.js	48	
controllers/orangeOmApiStatus.js	44	
controllers/orangeOmApi.js	76	
controllers/prospectionControllers.js	295	
controllers/relationControllers.js	2	
controllers/passportControllers.js	1	
controllers/globalVariable.js	4	
controllers/probleme.js	36	
controllers/controllersLevele.js	58	
controllers/pays.js	29	
controllers/profiles.js	15	
controllers/controllersProjet.js	73	
controllers/getTokenSMS.js	31	
controllers/authentification.js	125	
controllers/controllersActiviter.js	271	
controllers/produitControllers.js	945	
controllers/payementCarteApi.js	39	
controllers/categorieControllers.js	240	
controllers/commentaire.js	158	
controllers/controllersService.js	67	
controllers/OM.js	39	
controllers/getTokenCarte.js	28	
controllers/authentication.js	250	
controllers/zoneControllers.js	625	
routes/categorie.route.js	45	
routes/sms.route.js	52	
routes/pointage.route.js	10	
routes/produit.route.js	92	
routes/commande.route.js	109	
routes/user.route.js	136	
routes/projet.route.js	51	
routes/status.js	1	
routes/passport.route.js	1	
routes/zone.route.js	102	
