Metric		Current
TOTAL_NUMBER_OF_FILES		129
NUMBER_OF_FILES_MAIN		99
LINES_OF_CODE_MAIN		10,968
NUMBER_OF_FILES_MAIN_EXT_JS		99
LINES_OF_CODE_MAIN_EXT_JS		10,968
NUMBER_OF_FILES_TEST		0
LINES_OF_CODE_TEST		0
TEST_VS_MAIN_LINES_OF_CODE_PERCENTAGE		0
NUMBER_OF_FILES_GENERATED		1
LINES_OF_CODE_GENERATED		6,386
NUMBER_OF_FILES_GENERATED_EXT_JSON		1
LINES_OF_CODE_GENERATED_EXT_JSON		6,386
NUMBER_OF_FILES_BUILD_AND_DEPLOYMENT		0
LINES_OF_CODE_BUILD_AND_DEPLOYMENT		0
NUMBER_OF_FILES_OTHER		3
LINES_OF_CODE_OTHER		6,461
NUMBER_OF_FILES_OTHER_EXT_JSON		3
LINES_OF_CODE_OTHER_EXT_JSON		6,461
NUMBER_OF_FILES_DECOMPOSITION_PRIMARY_CONFIG		1
LINES_OF_CODE_DECOMPOSITION_PRIMARY_CONFIG		24
NUMBER_OF_FILES_DECOMPOSITION_PRIMARY_CONFIG_EXT_JS		1
LINES_OF_CODE_DECOMPOSITION_PRIMARY_CONFIG_EXT_JS		24
NUMBER_OF_FILES_DECOMPOSITION_PRIMARY_ROOT		2
LINES_OF_CODE_DECOMPOSITION_PRIMARY_ROOT		76
NUMBER_OF_FILES_DECOMPOSITION_PRIMARY_ROOT_EXT_JS		2
LINES_OF_CODE_DECOMPOSITION_PRIMARY_ROOT_EXT_JS		76
NUMBER_OF_FILES_DECOMPOSITION_PRIMARY_MODELS		47
LINES_OF_CODE_DECOMPOSITION_PRIMARY_MODELS		2,334
NUMBER_OF_FILES_DECOMPOSITION_PRIMARY_MODELS_EXT_JS		47
LINES_OF_CODE_DECOMPOSITION_PRIMARY_MODELS_EXT_JS		2,334
NUMBER_OF_FILES_DECOMPOSITION_PRIMARY_CONTROLLERS		39
LINES_OF_CODE_DECOMPOSITION_PRIMARY_CONTROLLERS		7,935
NUMBER_OF_FILES_DECOMPOSITION_PRIMARY_CONTROLLERS_EXT_JS		39
LINES_OF_CODE_DECOMPOSITION_PRIMARY_CONTROLLERS_EXT_JS		7,935
NUMBER_OF_FILES_DECOMPOSITION_PRIMARY_ROUTES		10
LINES_OF_CODE_DECOMPOSITION_PRIMARY_ROUTES		599
NUMBER_OF_FILES_DECOMPOSITION_PRIMARY_ROUTES_EXT_JS		10
LINES_OF_CODE_DECOMPOSITION_PRIMARY_ROUTES_EXT_JS		599
NUMBER_OF_DEPENDENCY_LINKS_DECOMPOSITION_PRIMARY		0
NUMBER_OF_DEPENDENCIES_DECOMPOSITION_PRIMARY		0
NUMBER_OF_PLACES_WITH_CYCLIC_DEPENDENCIES_DECOMPOSITION_PRIMARY		0
NUMBER_OF_FILES_CONCERN_GENERAL_TODOS		0
LINES_OF_CODE_CONCERN_GENERAL_TODOS		0
NUMBER_OF_FILES_CONCERN_GENERAL_UNCLASSIFIED		99
LINES_OF_CODE_CONCERN_GENERAL_UNCLASSIFIED		10,968
NUMBER_OF_FILES_CONCERN_GENERAL_UNCLASSIFIED_EXT_JS		99
LINES_OF_CODE_CONCERN_GENERAL_UNCLASSIFIED_EXT_JS		10,968
NEGLIGIBLE_RISK_FILE_SIZE_COUNT		79
LOW_RISK_FILE_SIZE_COUNT		10
MEDIUM_RISK_FILE_SIZE_COUNT		6
HIGH_RISK_FILE_SIZE_COUNT		2
VERY_HIGH_RISK_FILE_SIZE_COUNT		2
NEGLIGIBLE_RISK_FILE_SIZE_LOC		2,926
LOW_RISK_FILE_SIZE_LOC		1,210
MEDIUM_RISK_FILE_SIZE_LOC		1,559
HIGH_RISK_FILE_SIZE_LOC		1,570
VERY_HIGH_RISK_FILE_SIZE_LOC		3,703
NUMBER_OF_UNITS		58
LINES_OF_CODE_IN_UNITS		545
LINES_OF_CODE_OUTSIDE_UNITS		10,423
UNIT_SIZE_NEGLIGIBLE_RISK_LOC		256
UNIT_SIZE_NEGLIGIBLE_RISK_PERCENTAGE		46.97
UNIT_SIZE_NEGLIGIBLE_RISK_COUNT		47
UNIT_SIZE_LOW_RISK_LOC		55
UNIT_SIZE_LOW_RISK_PERCENTAGE		10.09
UNIT_SIZE_LOW_RISK_COUNT		4
UNIT_SIZE_MEDIUM_RISK_LOC		123
UNIT_SIZE_MEDIUM_RISK_PERCENTAGE		22.57
UNIT_SIZE_MEDIUM_RISK_COUNT		5
UNIT_SIZE_HIGH_RISK_LOC		111
UNIT_SIZE_HIGH_RISK_PERCENTAGE		20.37
UNIT_SIZE_HIGH_RISK_COUNT		2
UNIT_SIZE_VERY_HIGH_RISK_LOC		0
UNIT_SIZE_VERY_HIGH_RISK_PERCENTAGE		0
UNIT_SIZE_VERY_HIGH_RISK_COUNT		0
UNIT_SIZE_COMPONENT_CONFIG_NEGLIGIBLE_RISK_LOC		0
UNIT_SIZE_COMPONENT_CONFIG_NEGLIGIBLE_RISK_PERCENTAGE		0
UNIT_SIZE_COMPONENT_CONFIG_NEGLIGIBLE_RISK_COUNT		0
UNIT_SIZE_COMPONENT_CONFIG_LOW_RISK_LOC		16
UNIT_SIZE_COMPONENT_CONFIG_LOW_RISK_PERCENTAGE		100
UNIT_SIZE_COMPONENT_CONFIG_LOW_RISK_COUNT		1
UNIT_SIZE_COMPONENT_CONFIG_MEDIUM_RISK_LOC		0
UNIT_SIZE_COMPONENT_CONFIG_MEDIUM_RISK_PERCENTAGE		0
UNIT_SIZE_COMPONENT_CONFIG_MEDIUM_RISK_COUNT		0
UNIT_SIZE_COMPONENT_CONFIG_HIGH_RISK_LOC		0
UNIT_SIZE_COMPONENT_CONFIG_HIGH_RISK_PERCENTAGE		0
UNIT_SIZE_COMPONENT_CONFIG_HIGH_RISK_COUNT		0
UNIT_SIZE_COMPONENT_CONFIG_VERY_HIGH_RISK_LOC		0
UNIT_SIZE_COMPONENT_CONFIG_VERY_HIGH_RISK_PERCENTAGE		0
UNIT_SIZE_COMPONENT_CONFIG_VERY_HIGH_RISK_COUNT		0
UNIT_SIZE_COMPONENT_MODELS_NEGLIGIBLE_RISK_LOC		24
UNIT_SIZE_COMPONENT_MODELS_NEGLIGIBLE_RISK_PERCENTAGE		51.06
UNIT_SIZE_COMPONENT_MODELS_NEGLIGIBLE_RISK_COUNT		6
UNIT_SIZE_COMPONENT_MODELS_LOW_RISK_LOC		0
