Metric		Current
CONDITIONAL_COMPLEXITY_NEGLIGIBLE_RISK_LOC		545
CONDITIONAL_COMPLEXITY_LOW_RISK_LOC		0
CONDITIONAL_COMPLEXITY_MEDIUM_RISK_LOC		0
CONDITIONAL_COMPLEXITY_HIGH_RISK_LOC		0
CONDITIONAL_COMPLEXITY_VERY_HIGH_RISK_LOC		0
CONDITIONAL_COMPLEXITY_HIGH_PLUS_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_CONFIG_NEGLIGIBLE_RISK_LOC		16
CONDITIONAL_COMPLEXITY_COMPONENT_CONFIG_LOW_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_CONFIG_MEDIUM_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_CONFIG_HIGH_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_CONFIG_VERY_HIGH_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_MODELS_NEGLIGIBLE_RISK_LOC		47
CONDITIONAL_COMPLEXITY_COMPONENT_MODELS_LOW_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_MODELS_MEDIUM_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_MODELS_HIGH_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_MODELS_VERY_HIGH_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_CONTROLLERS_NEGLIGIBLE_RISK_LOC		467
CONDITIONAL_COMPLEXITY_COMPONENT_CONTROLLERS_LOW_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_CONTROLLERS_MEDIUM_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_CONTROLLERS_HIGH_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_CONTROLLERS_VERY_HIGH_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_ROUTES_NEGLIGIBLE_RISK_LOC		15
CONDITIONAL_COMPLEXITY_COMPONENT_ROUTES_LOW_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_ROUTES_MEDIUM_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_ROUTES_HIGH_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_ROUTES_VERY_HIGH_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_JS_NEGLIGIBLE_RISK_LOC		545
CONDITIONAL_COMPLEXITY_COMPONENT_JS_LOW_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_JS_MEDIUM_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_JS_HIGH_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_JS_VERY_HIGH_RISK_LOC		0
